Location,Area (sqft),Bedrooms,Bathrooms,Parking Spaces,Age of Property (years),Floor,Total Floors,Furnishing,Property Type,Nearby Metro (Y/N),Price (Lakhs)
Koramangala,1317,5,5,0,28,1,2,Unfurnished,Independent House,N,117.98
Bannerghatta Road,2869,5,1,0,13,1,2,Semi-Furnished,Apartment,Y,118.41
Rajajinagar,4846,4,4,1,9,3,3,Unfurnished,Apartment,Y,351.34
Electronic City,3046,1,2,0,14,5,5,Semi-Furnished,Apartment,Y,232.17
JP Nagar,1034,4,3,0,2,3,4,Unfurnished,Independent House,Y,48.82
BTM Layout,2588,1,2,2,23,4,5,Unfurnished,Apartment,Y,145.6
Malleshwaram,2074,1,2,0,6,1,6,Fully-Furnished,Independent House,N,189.34
Hebbal,3652,1,2,2,14,2,2,Fully-Furnished,Independent House,N,253.19
Bannerghatta Road,4934,1,2,2,5,2,2,Unfurnished,Apartment,N,307.84
Bannerghatta Road,2566,4,5,3,29,4,8,Semi-Furnished,Apartment,Y,136.33
Yelahanka,3278,5,1,1,29,2,3,Fully-Furnished,Apartment,Y,145.4
Malleswaram,4958,5,5,2,18,2,2,Unfurnished,Apartment,Y,329.53
Yelahanka,3048,4,1,2,2,6,8,Semi-Furnished,Independent House,N,237.76
Hebbal,4766,3,5,2,25,1,4,Unfurnished,Independent House,Y,268.61
Bannerghatta Road,1266,3,2,1,3,8,10,Semi-Furnished,Apartment,Y,84.08
BTM Layout,862,3,2,2,1,7,7,Unfurnished,Apartment,N,39.52
Koramangala,2722,3,2,1,19,2,2,Fully-Furnished,Independent House,Y,247.06
Koramangala,724,5,4,2,5,1,2,Semi-Furnished,Apartment,N,49.76
Whitefield,2448,1,4,1,27,4,10,Unfurnished,Apartment,Y,162.72
Basavanagudi,2322,4,1,0,10,10,10,Unfurnished,Independent House,N,134.89
Koramangala,3635,5,3,3,29,2,3,Semi-Furnished,Independent House,Y,255.58
Kengeri,1869,4,5,2,12,2,5,Semi-Furnished,Apartment,Y,77.85
JP Nagar,3971,1,1,0,10,6,9,Semi-Furnished,Independent House,N,184.02
Basavanagudi,819,2,4,3,15,6,7,Semi-Furnished,Apartment,Y,50.12
HSR Layout,897,4,3,0,0,1,8,Semi-Furnished,Independent House,Y,56.01
Malleshwaram,1653,5,4,3,18,3,5,Unfurnished,Apartment,Y,102.24
Malleswaram,2419,4,1,2,12,6,8,Unfurnished,Independent House,N,136.82
Ulsoor,3408,5,1,2,6,1,1,Unfurnished,Independent House,Y,219.28
Rajajinagar,1194,2,2,3,15,3,4,Semi-Furnished,Apartment,Y,87.99
Ulsoor,1349,2,5,3,1,3,3,Fully-Furnished,Independent House,N,102.73
Jayanagar,2651,1,5,3,0,2,4,Semi-Furnished,Apartment,Y,180.01
Koramangala,984,4,5,1,16,3,9,Semi-Furnished,Apartment,Y,96.1
Bannerghatta Road,2712,4,4,2,24,2,4,Fully-Furnished,Independent House,Y,136.0
Marathahalli,3227,4,2,3,20,4,7,Unfurnished,Apartment,Y,235.27
Malleswaram,1874,3,1,3,4,7,7,Unfurnished,Independent House,N,130.23
Marathahalli,2048,2,4,0,27,8,9,Semi-Furnished,Apartment,Y,104.33
HSR Layout,1866,1,2,0,22,5,5,Semi-Furnished,Independent House,N,113.25
Electronic City,2549,4,2,0,25,1,2,Unfurnished,Apartment,Y,197.82
Rajajinagar,4048,4,2,2,27,1,2,Unfurnished,Independent House,N,266.9
Malleshwaram,1781,2,2,1,17,2,2,Fully-Furnished,Independent House,Y,174.42
Malleswaram,1769,4,2,0,19,2,8,Unfurnished,Apartment,Y,129.71
Hebbal,2145,3,4,3,27,6,8,Fully-Furnished,Independent House,N,99.59
Whitefield,1983,4,4,0,24,3,4,Semi-Furnished,Independent House,Y,138.54
Malleshwaram,1011,1,4,3,5,2,9,Unfurnished,Apartment,Y,72.96
JP Nagar,1260,5,1,2,16,6,8,Semi-Furnished,Apartment,N,76.84
Hebbal,1445,1,4,2,6,7,9,Semi-Furnished,Independent House,N,69.49
Marathahalli,642,5,3,0,3,10,10,Fully-Furnished,Independent House,Y,38.84
Ulsoor,1260,1,2,3,18,2,5,Fully-Furnished,Independent House,Y,55.44
Marathahalli,2676,2,4,2,30,2,3,Unfurnished,Apartment,Y,156.16
JP Nagar,769,1,5,2,7,2,3,Semi-Furnished,Apartment,Y,55.41
JP Nagar,1637,4,1,2,8,5,6,Semi-Furnished,Apartment,Y,111.42
Kengeri,1090,5,3,1,30,1,4,Semi-Furnished,Independent House,Y,56.57
Sarjapur Road,1386,5,1,3,17,1,3,Semi-Furnished,Independent House,Y,95.67
Rajajinagar,4737,1,2,3,25,10,10,Semi-Furnished,Independent House,N,351.82
BTM Layout,1740,4,5,0,23,4,10,Semi-Furnished,Independent House,N,81.49
Bannerghatta Road,1334,1,1,0,2,1,3,Semi-Furnished,Apartment,Y,106.31
Koramangala,3493,2,4,3,14,1,2,Fully-Furnished,Apartment,Y,241.45
Marathahalli,966,1,1,1,1,1,1,Semi-Furnished,Apartment,Y,60.45
Indiranagar,2604,1,5,0,22,2,4,Semi-Furnished,Apartment,N,182.57
Indiranagar,1632,3,5,0,25,2,8,Fully-Furnished,Apartment,N,155.22
Rajajinagar,4891,1,3,3,26,2,10,Unfurnished,Apartment,Y,277.85
Whitefield,2040,5,2,3,2,2,2,Fully-Furnished,Independent House,Y,123.85
Malleswaram,3645,3,1,3,20,1,9,Fully-Furnished,Apartment,N,171.37
Kengeri,793,2,4,0,3,9,9,Fully-Furnished,Apartment,Y,32.17
HSR Layout,1133,1,2,1,14,1,2,Fully-Furnished,Independent House,N,61.05
Kengeri,2885,1,3,1,15,1,2,Fully-Furnished,Apartment,N,177.11
BTM Layout,4840,1,3,3,29,1,1,Fully-Furnished,Independent House,Y,296.37
Bannerghatta Road,1004,5,1,0,8,1,3,Semi-Furnished,Apartment,Y,50.66
Indiranagar,3817,1,3,2,20,2,3,Unfurnished,Independent House,N,254.8
Sarjapur Road,3741,4,1,0,15,1,6,Unfurnished,Independent House,Y,227.41
Hebbal,3057,2,2,0,14,1,8,Semi-Furnished,Independent House,Y,186.03
Hebbal,1858,5,5,3,17,1,1,Semi-Furnished,Apartment,N,137.27
Ulsoor,858,1,2,1,18,1,7,Semi-Furnished,Apartment,Y,56.53
Bannerghatta Road,2211,2,3,3,12,2,4,Unfurnished,Independent House,N,175.41
Ulsoor,1213,4,3,3,28,2,6,Semi-Furnished,Independent House,N,93.15
Koramangala,612,3,3,3,20,3,9,Unfurnished,Independent House,Y,34.33
Malleswaram,4950,4,1,2,4,1,1,Unfurnished,Independent House,Y,384.42
Sarjapur Road,2495,5,1,0,3,2,4,Fully-Furnished,Apartment,Y,186.65
Sarjapur Road,4710,2,2,3,10,5,5,Fully-Furnished,Independent House,N,315.33
Jayanagar,4620,5,5,2,2,3,6,Semi-Furnished,Independent House,Y,339.84
Electronic City,4333,5,2,1,23,3,8,Fully-Furnished,Apartment,Y,295.59
Hebbal,2519,1,4,0,0,2,2,Semi-Furnished,Apartment,Y,158.21
Malleshwaram,2867,3,2,3,27,2,3,Fully-Furnished,Apartment,Y,199.26
Kengeri,2727,4,3,3,7,8,10,Unfurnished,Independent House,Y,145.03
Ulsoor,2031,2,4,2,8,5,5,Fully-Furnished,Apartment,Y,150.8
Bellandur,4466,1,2,3,11,10,10,Semi-Furnished,Apartment,N,240.77
Hebbal,4549,2,3,2,5,2,3,Unfurnished,Apartment,Y,189.82
JP Nagar,3452,3,2,0,30,5,6,Unfurnished,Independent House,Y,143.33
Hebbal,1184,1,4,3,1,4,8,Semi-Furnished,Apartment,N,91.59
Whitefield,4518,2,4,3,20,6,10,Fully-Furnished,Apartment,Y,286.34
Ulsoor,3272,4,5,2,20,1,2,Fully-Furnished,Independent House,Y,140.64
Whitefield,2996,4,2,0,11,4,7,Semi-Furnished,Independent House,N,126.47
Sarjapur Road,2782,5,3,2,9,1,5,Fully-Furnished,Apartment,N,217.73
Bannerghatta Road,1255,4,4,0,15,5,6,Fully-Furnished,Apartment,N,86.63
Marathahalli,4470,3,4,1,9,2,4,Semi-Furnished,Apartment,Y,355.69
Yelahanka,4129,1,4,0,14,1,5,Fully-Furnished,Independent House,Y,287.61
Marathahalli,4246,5,2,3,20,1,3,Fully-Furnished,Apartment,Y,212.41
Electronic City,3381,3,3,3,17,5,9,Fully-Furnished,Apartment,Y,197.99
Marathahalli,3793,5,3,1,16,2,10,Unfurnished,Apartment,Y,206.63
Electronic City,4438,5,5,2,5,1,1,Fully-Furnished,Independent House,N,251.55
Kengeri,2086,4,4,3,5,4,10,Fully-Furnished,Apartment,N,84.92
BTM Layout,872,5,2,3,29,5,6,Fully-Furnished,Independent House,N,61.27
Marathahalli,2300,2,3,1,9,10,10,Semi-Furnished,Apartment,N,94.53
Marathahalli,1302,2,2,3,22,1,2,Unfurnished,Independent House,N,100.09
Indiranagar,4323,5,2,1,16,1,5,Fully-Furnished,Apartment,Y,343.45
Bellandur,3908,3,4,2,16,4,4,Semi-Furnished,Apartment,Y,200.34
Rajajinagar,4499,2,1,3,30,7,10,Fully-Furnished,Apartment,Y,258.43
Ulsoor,2545,5,5,1,0,1,3,Unfurnished,Apartment,Y,156.58
Bannerghatta Road,1337,5,4,3,3,4,6,Unfurnished,Independent House,N,76.52
Koramangala,3012,2,2,0,29,1,1,Unfurnished,Apartment,Y,266.98
Electronic City,951,2,5,1,13,2,5,Unfurnished,Apartment,N,38.54
Kengeri,2040,1,5,0,2,1,1,Fully-Furnished,Apartment,N,131.34
Kengeri,1392,3,3,3,25,3,9,Semi-Furnished,Apartment,Y,102.23
Sarjapur Road,3837,2,2,2,9,8,10,Unfurnished,Apartment,Y,159.79
Malleswaram,2282,5,1,0,10,5,6,Unfurnished,Apartment,N,159.87
Ulsoor,1308,1,2,1,9,2,4,Fully-Furnished,Apartment,Y,64.47
Ulsoor,4184,5,2,3,22,2,2,Unfurnished,Independent House,N,234.89
Ulsoor,1307,3,3,3,0,2,2,Semi-Furnished,Independent House,Y,71.91
Malleshwaram,3236,1,3,3,0,1,1,Unfurnished,Apartment,Y,215.79
Marathahalli,1345,1,4,2,13,2,3,Unfurnished,Apartment,N,90.63
Malleshwaram,3965,5,1,3,26,2,4,Semi-Furnished,Independent House,N,377.88
Hebbal,1936,4,5,2,10,3,9,Semi-Furnished,Independent House,Y,97.95
Hebbal,1848,1,2,3,29,1,1,Unfurnished,Independent House,N,99.66
Kengeri,644,1,4,1,15,2,5,Semi-Furnished,Independent House,N,29.69
Kengeri,2331,2,2,2,28,5,6,Unfurnished,Independent House,Y,185.26
Bellandur,2742,4,3,3,23,6,10,Unfurnished,Apartment,Y,205.04
Ulsoor,1183,2,4,3,15,1,7,Semi-Furnished,Independent House,N,60.28
JP Nagar,4099,3,4,3,0,1,1,Unfurnished,Independent House,Y,199.24
Indiranagar,3895,1,2,3,3,6,8,Fully-Furnished,Independent House,Y,229.85
Indiranagar,1397,1,4,1,30,5,8,Semi-Furnished,Independent House,Y,120.34
Sarjapur Road,2079,1,5,0,19,2,5,Fully-Furnished,Apartment,N,133.54
Jayanagar,1382,2,3,2,26,1,3,Fully-Furnished,Apartment,N,96.49
Whitefield,4799,4,5,1,0,3,8,Fully-Furnished,Apartment,Y,293.12
Kengeri,2794,4,4,0,4,5,5,Fully-Furnished,Independent House,N,164.54
Bellandur,1777,2,5,0,16,2,3,Unfurnished,Apartment,N,120.55
Bellandur,2639,2,3,2,1,7,7,Unfurnished,Apartment,N,107.23
Rajajinagar,1801,2,1,3,29,3,3,Semi-Furnished,Apartment,N,83.16
Bellandur,2724,2,3,0,3,2,3,Unfurnished,Apartment,N,201.34
Malleswaram,635,5,4,0,10,5,10,Fully-Furnished,Apartment,N,33.16
Jayanagar,3619,5,3,1,27,3,7,Unfurnished,Independent House,Y,262.61
Yelahanka,2699,5,3,2,21,6,9,Unfurnished,Independent House,Y,210.86
HSR Layout,697,2,1,3,0,5,5,Fully-Furnished,Independent House,N,43.2
Hebbal,2861,5,4,0,27,2,4,Semi-Furnished,Independent House,Y,176.98
Indiranagar,3280,1,5,0,26,1,1,Unfurnished,Independent House,N,221.15
Hebbal,3080,1,1,2,28,9,10,Unfurnished,Apartment,N,207.0
Kengeri,2752,2,3,3,13,6,6,Fully-Furnished,Apartment,N,117.89
Jayanagar,1011,4,3,3,27,2,3,Unfurnished,Independent House,N,88.56
JP Nagar,4230,1,1,0,17,1,1,Unfurnished,Independent House,Y,296.47
Ulsoor,3228,5,3,3,15,4,8,Semi-Furnished,Independent House,N,248.08
Basavanagudi,1664,4,4,3,30,6,8,Fully-Furnished,Independent House,N,109.58
Rajajinagar,4934,1,3,1,5,8,9,Unfurnished,Apartment,N,377.3
Basavanagudi,878,2,5,1,24,6,8,Semi-Furnished,Apartment,Y,54.03
Electronic City,3882,5,1,0,11,3,5,Fully-Furnished,Independent House,N,185.44
Indiranagar,1831,2,4,3,19,5,7,Fully-Furnished,Independent House,N,135.31
Malleswaram,2539,3,1,0,4,1,2,Unfurnished,Independent House,N,104.86
Bannerghatta Road,4112,1,4,1,16,2,7,Fully-Furnished,Independent House,Y,222.42
Indiranagar,1358,2,1,0,8,2,3,Semi-Furnished,Independent House,N,96.61
Koramangala,4141,5,4,0,25,1,1,Semi-Furnished,Independent House,Y,381.81
Malleshwaram,2891,4,2,0,18,6,9,Unfurnished,Apartment,N,169.03
Jayanagar,869,1,5,0,27,4,10,Fully-Furnished,Apartment,N,76.12
HSR Layout,725,3,3,3,25,3,5,Unfurnished,Independent House,N,36.42
Jayanagar,3165,5,1,2,30,4,9,Unfurnished,Apartment,Y,223.86
Malleswaram,1512,2,5,0,20,5,6,Unfurnished,Apartment,N,83.28
Electronic City,3748,5,5,0,7,4,5,Semi-Furnished,Independent House,N,292.47
Jayanagar,651,3,3,1,15,9,10,Semi-Furnished,Apartment,Y,59.23
Ulsoor,2110,5,2,2,2,3,6,Semi-Furnished,Independent House,Y,96.73
Jayanagar,3891,5,3,0,22,1,7,Semi-Furnished,Independent House,Y,347.15
Yelahanka,4215,2,5,0,22,1,1,Unfurnished,Independent House,Y,310.81
Marathahalli,1646,1,4,3,17,1,1,Fully-Furnished,Independent House,N,110.64
HSR Layout,1499,3,3,2,26,1,2,Fully-Furnished,Independent House,Y,102.65
Bannerghatta Road,3363,3,3,3,14,8,10,Unfurnished,Independent House,N,178.56
Jayanagar,2423,3,2,3,11,4,4,Fully-Furnished,Independent House,N,211.82
Yelahanka,2835,1,3,1,17,5,8,Semi-Furnished,Apartment,Y,120.84
Marathahalli,1829,5,3,2,15,1,2,Fully-Furnished,Independent House,N,103.15
BTM Layout,4112,4,5,1,22,3,7,Fully-Furnished,Apartment,N,189.93
Bannerghatta Road,2121,3,1,1,5,5,6,Semi-Furnished,Independent House,N,97.35
JP Nagar,1081,5,3,3,2,1,1,Unfurnished,Apartment,Y,54.56
Rajajinagar,2309,4,3,1,23,5,7,Fully-Furnished,Apartment,N,177.04
Hebbal,1889,4,2,2,6,4,4,Unfurnished,Apartment,Y,117.87
Basavanagudi,4507,1,5,2,0,3,4,Fully-Furnished,Independent House,N,329.47
JP Nagar,2383,5,2,3,8,1,1,Semi-Furnished,Apartment,N,165.61
Bannerghatta Road,1700,3,3,2,16,1,1,Unfurnished,Independent House,N,133.72
Bannerghatta Road,2983,1,4,2,7,2,2,Fully-Furnished,Apartment,N,223.98
Electronic City,3727,1,1,3,10,4,5,Semi-Furnished,Apartment,Y,246.37
Kengeri,3655,1,3,2,21,7,9,Fully-Furnished,Apartment,Y,228.7
Bannerghatta Road,4234,3,1,3,4,4,6,Semi-Furnished,Independent House,Y,172.94
BTM Layout,2952,4,2,0,10,1,3,Semi-Furnished,Apartment,Y,135.06
Ulsoor,3582,1,1,2,2,3,6,Semi-Furnished,Independent House,N,240.41
Whitefield,3934,1,2,3,29,6,8,Unfurnished,Apartment,N,200.27
Electronic City,603,1,3,0,24,2,9,Fully-Furnished,Apartment,N,43.41
Hebbal,3799,5,5,1,29,1,3,Unfurnished,Apartment,N,255.79
Hebbal,2874,1,5,2,14,1,1,Fully-Furnished,Apartment,N,143.97
BTM Layout,2269,1,5,2,21,1,3,Fully-Furnished,Apartment,N,170.57
Bannerghatta Road,4264,3,5,3,30,5,8,Fully-Furnished,Apartment,N,331.29
Basavanagudi,1229,2,4,1,4,2,2,Semi-Furnished,Independent House,N,94.99
Jayanagar,3940,5,4,0,11,4,8,Fully-Furnished,Independent House,Y,408.23
JP Nagar,637,4,3,2,5,7,10,Unfurnished,Independent House,N,32.44
Rajajinagar,4844,5,5,0,4,1,5,Fully-Furnished,Apartment,N,371.69
Jayanagar,704,1,4,1,19,3,3,Unfurnished,Independent House,Y,51.71
Bellandur,2207,2,3,2,11,5,10,Semi-Furnished,Independent House,Y,117.76
Marathahalli,2184,2,4,2,22,3,3,Semi-Furnished,Apartment,Y,151.52
Jayanagar,3832,4,3,3,25,1,4,Semi-Furnished,Independent House,N,218.44
Jayanagar,1342,3,5,2,16,1,6,Fully-Furnished,Independent House,Y,83.18
Jayanagar,4197,4,2,2,29,1,3,Fully-Furnished,Independent House,Y,246.26
Ulsoor,1325,4,5,1,7,1,2,Semi-Furnished,Independent House,Y,76.41
Electronic City,1035,3,5,0,28,6,7,Semi-Furnished,Apartment,N,60.96
Marathahalli,2465,5,2,2,2,1,5,Semi-Furnished,Apartment,N,103.81
Marathahalli,2831,4,4,0,3,1,2,Semi-Furnished,Independent House,Y,136.58
Hebbal,2717,3,2,2,26,1,2,Fully-Furnished,Apartment,N,176.31
Marathahalli,1105,1,1,2,8,9,9,Fully-Furnished,Independent House,Y,58.48
Electronic City,1183,3,4,0,30,1,1,Fully-Furnished,Apartment,Y,80.22
Kengeri,3496,5,4,3,19,3,5,Fully-Furnished,Apartment,Y,224.89
Hebbal,3599,5,1,3,9,4,8,Semi-Furnished,Apartment,N,145.91
Malleswaram,3247,3,1,1,1,1,2,Semi-Furnished,Independent House,N,241.57
HSR Layout,4512,4,4,1,6,3,5,Unfurnished,Apartment,N,323.65
Electronic City,1969,4,2,2,30,2,4,Semi-Furnished,Apartment,Y,83.69
Electronic City,4337,2,2,3,10,2,3,Fully-Furnished,Independent House,Y,176.05
BTM Layout,628,4,1,1,28,3,6,Semi-Furnished,Apartment,Y,45.32
Bellandur,2522,3,4,1,16,5,10,Semi-Furnished,Independent House,Y,194.22
Kengeri,4107,5,1,2,17,7,7,Unfurnished,Independent House,N,263.54
Indiranagar,4663,2,1,2,23,5,5,Unfurnished,Independent House,Y,263.52
Marathahalli,1455,3,4,0,16,9,9,Fully-Furnished,Independent House,N,98.01
Bannerghatta Road,4850,4,5,1,8,2,2,Unfurnished,Apartment,Y,263.15
Jayanagar,2730,5,3,1,2,2,4,Fully-Furnished,Independent House,Y,174.7
Indiranagar,1781,5,3,2,10,1,1,Fully-Furnished,Independent House,Y,141.48
Yelahanka,3903,3,5,0,5,2,8,Unfurnished,Independent House,N,191.1
Basavanagudi,4419,3,1,2,14,1,6,Fully-Furnished,Apartment,Y,312.08
BTM Layout,699,2,1,3,23,1,2,Semi-Furnished,Apartment,Y,51.52
Yelahanka,1501,3,3,3,13,1,4,Semi-Furnished,Independent House,N,81.39
Whitefield,2347,1,2,1,10,2,4,Fully-Furnished,Apartment,N,176.27
Koramangala,3799,3,5,0,25,2,8,Semi-Furnished,Apartment,N,205.59
Sarjapur Road,1152,1,4,1,8,1,2,Unfurnished,Apartment,Y,91.14
Bannerghatta Road,4921,2,1,0,21,7,9,Unfurnished,Independent House,N,255.31
Basavanagudi,3531,4,2,1,4,2,2,Semi-Furnished,Apartment,Y,276.03
Yelahanka,4090,2,2,2,11,1,6,Unfurnished,Apartment,Y,272.29
Electronic City,2644,5,3,0,13,1,1,Unfurnished,Independent House,N,192.33
Indiranagar,3043,1,3,0,17,4,4,Unfurnished,Independent House,N,193.27
Malleshwaram,4469,1,1,1,17,5,8,Semi-Furnished,Independent House,Y,239.22
Yelahanka,3239,1,2,2,23,1,3,Fully-Furnished,Independent House,N,148.53
Whitefield,2542,4,3,3,13,5,9,Semi-Furnished,Independent House,Y,104.24
BTM Layout,3338,5,4,1,7,1,2,Fully-Furnished,Apartment,Y,211.3
Jayanagar,1377,2,1,3,2,1,1,Semi-Furnished,Apartment,N,143.04
Basavanagudi,3382,4,1,1,30,3,9,Fully-Furnished,Independent House,N,245.55
Koramangala,769,4,2,3,17,6,10,Semi-Furnished,Apartment,Y,45.42
Bannerghatta Road,1834,5,4,2,15,6,8,Semi-Furnished,Apartment,N,112.3
Koramangala,3106,5,3,0,28,7,7,Fully-Furnished,Apartment,N,294.06
Kengeri,3921,2,5,2,13,8,8,Fully-Furnished,Independent House,N,301.66
Malleshwaram,1851,4,5,2,6,4,7,Fully-Furnished,Independent House,N,164.31
Indiranagar,1987,3,5,2,6,1,1,Fully-Furnished,Apartment,N,133.46
BTM Layout,3236,5,3,1,19,1,3,Fully-Furnished,Independent House,N,176.1
Malleshwaram,3224,5,3,0,17,10,10,Semi-Furnished,Apartment,N,170.49
Whitefield,4627,2,4,1,11,1,8,Unfurnished,Apartment,N,273.73
JP Nagar,4165,3,4,2,26,4,6,Semi-Furnished,Apartment,Y,183.03
Kengeri,4785,2,4,0,5,1,1,Unfurnished,Independent House,Y,279.67
Ulsoor,4292,4,3,1,22,4,6,Semi-Furnished,Independent House,N,207.59
Marathahalli,1719,4,3,3,12,3,4,Semi-Furnished,Independent House,N,125.45
Indiranagar,1537,4,5,1,15,1,1,Semi-Furnished,Apartment,Y,111.85
JP Nagar,1031,4,2,3,27,5,7,Semi-Furnished,Independent House,N,76.38
Whitefield,4583,1,3,1,28,2,2,Semi-Furnished,Independent House,Y,319.04
JP Nagar,3882,5,2,3,12,2,9,Fully-Furnished,Independent House,N,287.84
Yelahanka,2511,4,4,3,9,1,2,Unfurnished,Apartment,N,104.24
Indiranagar,2640,4,5,1,3,8,10,Fully-Furnished,Apartment,Y,180.03
Indiranagar,4522,2,4,1,23,6,7,Fully-Furnished,Apartment,Y,431.69
Hebbal,2998,5,2,0,15,4,7,Unfurnished,Independent House,Y,191.08
Malleshwaram,3488,2,2,1,6,9,9,Unfurnished,Independent House,N,362.1
Kengeri,4680,2,5,3,23,1,4,Semi-Furnished,Independent House,Y,330.29
Indiranagar,3268,1,2,3,25,2,6,Unfurnished,Apartment,N,248.78
Basavanagudi,3532,2,5,3,29,3,4,Unfurnished,Independent House,Y,196.08
Rajajinagar,4743,2,1,0,18,2,6,Fully-Furnished,Apartment,Y,363.15
Ulsoor,3703,4,2,0,6,3,7,Fully-Furnished,Apartment,N,240.24
Ulsoor,1724,3,4,0,9,1,6,Unfurnished,Apartment,Y,104.16
Koramangala,2240,4,2,1,4,1,2,Unfurnished,Independent House,N,201.66
Ulsoor,2367,1,1,1,5,4,6,Semi-Furnished,Independent House,N,164.34
Bannerghatta Road,1514,1,5,0,6,1,5,Unfurnished,Apartment,N,108.73
Hebbal,2517,3,2,3,28,1,2,Unfurnished,Apartment,N,118.13
Hebbal,2573,5,2,3,28,1,3,Unfurnished,Independent House,Y,205.77
Sarjapur Road,3945,1,5,0,6,3,6,Unfurnished,Independent House,Y,245.56
Hebbal,936,2,1,3,21,3,3,Semi-Furnished,Independent House,N,44.25
Sarjapur Road,1131,3,4,3,21,6,7,Unfurnished,Independent House,N,46.23
BTM Layout,2029,1,1,0,22,3,6,Unfurnished,Independent House,Y,109.89
Bannerghatta Road,636,3,5,0,26,6,9,Fully-Furnished,Independent House,Y,44.58
Hebbal,2289,4,4,0,4,3,4,Semi-Furnished,Apartment,N,157.18
Bannerghatta Road,3980,1,1,0,0,3,3,Semi-Furnished,Apartment,Y,211.41
Yelahanka,4137,2,4,0,15,3,3,Semi-Furnished,Independent House,N,271.81
Marathahalli,1129,5,4,1,18,8,8,Fully-Furnished,Apartment,N,64.73
Malleswaram,1197,2,5,3,29,2,5,Fully-Furnished,Apartment,N,57.68
Marathahalli,4673,3,2,3,2,2,4,Fully-Furnished,Apartment,N,341.07
Koramangala,1622,5,5,1,9,1,6,Semi-Furnished,Independent House,Y,106.68
Ulsoor,2833,4,3,3,8,2,2,Semi-Furnished,Independent House,N,169.37
Malleswaram,4716,5,3,0,18,2,2,Unfurnished,Independent House,N,281.11
Marathahalli,1676,1,2,2,12,1,6,Unfurnished,Apartment,Y,134.07
Kengeri,2701,4,4,0,22,1,6,Fully-Furnished,Independent House,N,192.9
Jayanagar,3275,1,5,3,20,2,4,Fully-Furnished,Apartment,Y,315.4
Rajajinagar,2131,5,5,1,17,2,8,Semi-Furnished,Apartment,Y,89.4
Jayanagar,4487,3,4,2,13,4,9,Semi-Furnished,Independent House,N,300.45
Sarjapur Road,1775,5,5,1,12,1,5,Unfurnished,Apartment,N,75.59
Sarjapur Road,2107,1,3,3,25,2,4,Unfurnished,Independent House,N,144.56
BTM Layout,3236,4,2,0,25,6,10,Unfurnished,Apartment,N,149.12
Kengeri,3318,2,1,1,8,6,10,Unfurnished,Independent House,Y,248.95
Whitefield,4064,1,2,0,7,1,1,Unfurnished,Independent House,Y,162.62
Sarjapur Road,3213,4,2,1,26,2,7,Unfurnished,Apartment,Y,252.06
Koramangala,2971,4,3,0,19,2,2,Semi-Furnished,Independent House,Y,261.34
Bannerghatta Road,3453,1,4,1,14,2,5,Semi-Furnished,Apartment,N,179.69
Malleshwaram,4375,5,2,3,29,1,5,Semi-Furnished,Apartment,Y,275.07
Rajajinagar,3860,3,3,0,21,1,1,Unfurnished,Apartment,N,211.35
BTM Layout,4590,5,5,0,4,6,6,Unfurnished,Independent House,N,216.58
Rajajinagar,904,1,4,0,21,7,8,Semi-Furnished,Independent House,Y,42.36
Sarjapur Road,4913,2,4,0,13,1,1,Unfurnished,Independent House,Y,209.26
Yelahanka,2022,4,5,3,10,4,5,Fully-Furnished,Independent House,N,151.02
Malleshwaram,4844,1,4,2,24,1,1,Unfurnished,Apartment,N,303.05
Rajajinagar,844,2,2,3,8,4,9,Unfurnished,Apartment,N,55.96
Kengeri,2502,5,3,3,9,1,2,Fully-Furnished,Apartment,Y,189.63
Basavanagudi,3017,5,4,2,28,4,9,Fully-Furnished,Apartment,Y,146.46
Malleshwaram,2588,4,5,1,15,8,9,Unfurnished,Independent House,Y,182.94
Whitefield,1540,3,1,1,9,2,2,Semi-Furnished,Apartment,Y,72.3
Malleshwaram,825,1,1,0,17,1,1,Semi-Furnished,Independent House,Y,56.65
Basavanagudi,4898,3,3,2,19,2,2,Semi-Furnished,Apartment,Y,344.64
Malleshwaram,3695,2,5,3,27,1,6,Fully-Furnished,Apartment,N,326.4
Whitefield,4013,5,2,2,26,8,9,Fully-Furnished,Apartment,Y,177.82
BTM Layout,4767,5,2,1,20,1,4,Unfurnished,Independent House,Y,260.52
BTM Layout,1346,2,1,3,21,3,6,Unfurnished,Apartment,Y,63.17
Indiranagar,3649,5,2,1,9,2,7,Unfurnished,Apartment,N,320.68
Indiranagar,2883,3,3,0,30,2,4,Fully-Furnished,Apartment,Y,226.28
Kengeri,1639,2,3,2,16,6,8,Fully-Furnished,Apartment,N,94.95
Whitefield,3128,3,2,0,13,4,4,Fully-Furnished,Apartment,Y,186.63
Malleswaram,2698,1,5,1,28,1,6,Semi-Furnished,Apartment,N,120.87
Hebbal,4771,2,5,0,28,8,10,Fully-Furnished,Independent House,Y,300.99
Malleswaram,1962,5,3,2,11,3,9,Unfurnished,Apartment,Y,104.75
Hebbal,2017,2,4,0,7,4,4,Fully-Furnished,Apartment,Y,133.58
BTM Layout,1362,5,4,1,5,7,8,Fully-Furnished,Independent House,N,98.75
Bannerghatta Road,4741,4,4,2,13,2,7,Semi-Furnished,Independent House,N,301.19
JP Nagar,932,4,5,0,28,1,1,Unfurnished,Independent House,Y,46.95
